Ref#,Unique ID,Entity Name,Alternate Entity Name,Unique Parent ID,Immediate Parent Name,Alternate Immediate Parent Name,Street Address 1,Street Address 2,City,Country,State,% Ownership,Type of Relationship,Legends,Remarks,,
1,,AGNICO EAGLE MINES LIMITED ,,,,,,,,Canada,Ontario,,,,,,
2,,1715495 Ontario Inc.,,,AGNICO EAGLE MINES LIMITED ,,,,,Canada,Ontario,100,CONTROL,,,,
3,,Agnico Eagle (Barbados) Limited,,,1715495 Ontario Inc.,,,,,Barbados,,100,CONTROL,,,,
4,,Agnico Eagle Mines Sweden Cooperatie U.A.,,,1715495 Ontario Inc.,,,,,Netherlands,,100,CONTROL,,,,
5,,Agnico Eagle Sweden AB ,,,Agnico Eagle Mines Sweden Cooperatie U.A.,,,,,Sweden,,100,CONTROL,,,,
6,,Agnico Eagle Finland Oy ,,,Agnico Eagle Sweden AB ,,,,,Finland,,100,CONTROL,,,,
7,,Gunnarn Mining AB ,,,Agnico Eagle Sweden AB ,,,,,Sweden,,55,CONTROL,,,,
8,,Eagle (USA) Limited,,,AGNICO EAGLE MINES LIMITED ,,,,,United States,Nevada,100,CONTROL,,,,
9,,2421451 Ontario Inc.,,,AGNICO EAGLE MINES LIMITED ,,,,,Canada,Ontario,100,CONTROL,,,,
10,,Canadian Malartic Corporation,,,2421451 Ontario Inc.,,,,,Canada,Ontario,50,IMMATERIAL SIGNIFICANT INFLUENCE,,,,
11,,Canada Inc.,,,Canadian Malartic Corporation,,,,,Canada,Ontario,100,CONTROL,,,,
12,,Canadian Malartic GP,,,Canadian Malartic Corporation,,,,,Canada,Ontario,88.7,CONTROL,,,,
13,,Urastar Gold Corp. ,,,AGNICO EAGLE MINES LIMITED ,,,,,Canada,British Columbia,100,CONTROL,,,,
14,,Animas Transaction Inc. ,,,AGNICO EAGLE MINES LIMITED ,,,,,Canada,Ontario,100,CONTROL,,,,
15,,Penna Insurance Inc. ,,,AGNICO EAGLE MINES LIMITED ,,,,,Barbados,,100,CONTROL,,,,
16,,1641315 Ontario Inc,,,AGNICO EAGLE MINES LIMITED ,,,,,Canada,Ontario,100,CONTROL,,,,
17,,0901223 B.C. Ltd.,,,AGNICO EAGLE MINES LIMITED ,,,,,Canada,British Columbia,75,CONTROL,,,,
18,,Agnico Eagle Mines Mexico Cooperatie U.A.,,,AGNICO EAGLE MINES LIMITED ,,,,,Netherlands,,100,CONTROL,,,,
19,,Genex Exploration Corp.,,,AGNICO EAGLE MINES LIMITED ,,,,,Canada,Yukon,100,CONTROL,,,,
20,,"Minera Azor Dorado, S.A. de C.V.",,,0901223 B.C. Ltd.,,,,,Mexico,,99.99,CONTROL,,,,
21,,"Grupo Agnico Eagle Mexico, S.A. de C.V. ",,,Agnico Eagle Mines Mexico Cooperatie U.A.,,,,,Mexico,,100,CONTROL,,,,
22,,"Tenedora Agnico Eagle Mexico, S.A. de C.V.",,,"Grupo Agnico Eagle Mexico, S.A. de C.V. ",,,,,Mexico,,100,CONTROL,,,,
23,,"REMI Agnico, S.A. de C.V., SOFOM, E.N.R. ",,,"Grupo Agnico Eagle Mexico, S.A. de C.V. ",,,,,Mexico,,100,CONTROL,,,,
24,,"Minera Agave, S.A. de C.V. ",,,"Grupo Agnico Eagle Mexico, S.A. de C.V. ",,,,,Mexico,,100,CONTROL,,,,
25,,"Servicios Pinos Altos, S.A. de C.V.",,,"Grupo Agnico Eagle Mexico, S.A. de C.V. ",,,,,Mexico,,100,CONTROL,,,,
26,,"Servicios Agnico Eagle Mexico, S.A. de C.V.",,,"Grupo Agnico Eagle Mexico, S.A. de C.V. ",,,,,Mexico,,100,CONTROL,,,,
27,,"Servicios Agnico del Pacifico, S.A. de C.V.",,,"Grupo Agnico Eagle Mexico, S.A. de C.V. ",,,,,Mexico,,100,CONTROL,,,,
28,,"Agnico Eagle Mexico, S.A. de C.V.",,,"Tenedora Agnico Eagle Mexico, S.A. de C.V.",,,,,Mexico,,100,CONTROL,,,,
29,,"Agnico Sonora, S.A. de C.V.",,,"Agnico Eagle Mexico, S.A. de C.V.",,,,,Mexico,,100,CONTROL,,,,
30,,"L.C. Mines, S.A. de C.V.",,,"Agnico Eagle Mexico, S.A. de C.V.",,,,,Mexico,,100,CONTROL,,,,
